Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,
Bajaj Holdings and Investment Ltd,BAJAJHLDNG,Asset Management,104754.4598,9412.45,14.41467356,BAJAJHLDNG
HDFC Asset Management Company Ltd,HDFCAMC,Asset Management,89336.76653,4182.85,45.9861154,"BAJAJHLDNG,HDFCAMC"
Nippon Life India Asset Management Ltd,NAM-INDIA,Asset Management,41585.83555,658.25,37.55539099,"BAJAJHLDNG,HDFCAMC,NAM-INDIA"
Tata Investment Corporation Ltd,TATAINVEST,Asset Management,31775.61672,6280.35,82.54693387,"BAJAJHLDNG,HDFCAMC,NAM-INDIA,TATAINVEST"
Aditya Birla Sun Life Amc Ltd,ABSLAMC,Asset Management,19985.95061,693.7,25.61119305,"BAJAJHLDNG,HDFCAMC,NAM-INDIA,TATAINVEST,ABSLAMC"
Anand Rathi Wealth Ltd,ANANDRATHI,Asset Management,15451.17775,3722.25,68.68105856,"BAJAJHLDNG,HDFCAMC,NAM-INDIA,TATAINVEST,ABSLAMC,ANANDRATHI"
UTI Asset Management Company Ltd,UTIAMC,Asset Management,13106.12941,1028.95,17.11698022,"BAJAJHLDNG,HDFCAMC,NAM-INDIA,TATAINVEST,ABSLAMC,ANANDRATHI,UTIAMC"
Prudent Corporate Advisory Services Ltd,PRUDENT,Asset Management,9498.692392,2294,68.45904427,"BAJAJHLDNG,HDFCAMC,NAM-INDIA,TATAINVEST,ABSLAMC,ANANDRATHI,UTIAMC,PRUDENT"
JSW Holdings Ltd,JSWHL,Asset Management,7687.541029,6927.55,49.41849466,"BAJAJHLDNG,HDFCAMC,NAM-INDIA,TATAINVEST,ABSLAMC,ANANDRATHI,UTIAMC,PRUDENT,JSWHL"
Pilani Investment And Industries Corporation Ltd,PILANIINVS,Asset Management,5673.697706,5124.25,34.08445096,"BAJAJHLDNG,HDFCAMC,NAM-INDIA,TATAINVEST,ABSLAMC,ANANDRATHI,UTIAMC,PRUDENT,JSWHL,PILANIINVS"
Kalyani Investment Company Ltd,KICL,Asset Management,2669.952109,6116.3,38.1203899,"BAJAJHLDNG,HDFCAMC,NAM-INDIA,TATAINVEST,ABSLAMC,ANANDRATHI,UTIAMC,PRUDENT,JSWHL,PILANIINVS,KICL"
BF Investment Ltd,BFINVEST,Asset Management,2396.037817,636.1,5.524133852,"BAJAJHLDNG,HDFCAMC,NAM-INDIA,TATAINVEST,ABSLAMC,ANANDRATHI,UTIAMC,PRUDENT,JSWHL,PILANIINVS,KICL,BFINVEST"
Nalwa Sons Investments Ltd,NSIL,Asset Management,2271.853299,4423.25,40.38132419,"BAJAJHLDNG,HDFCAMC,NAM-INDIA,TATAINVEST,ABSLAMC,ANANDRATHI,UTIAMC,PRUDENT,JSWHL,PILANIINVS,KICL,BFINVEST,NSIL"
Summit Securities Ltd,SUMMITSEC,Asset Management,2195.836729,2014.2,28.99559922,"BAJAJHLDNG,HDFCAMC,NAM-INDIA,TATAINVEST,ABSLAMC,ANANDRATHI,UTIAMC,PRUDENT,JSWHL,PILANIINVS,KICL,BFINVEST,NSIL,SUMMITSEC"
Crest Ventures Ltd,CREST,Asset Management,1271.95652,451.1,20.49229129,"BAJAJHLDNG,HDFCAMC,NAM-INDIA,TATAINVEST,ABSLAMC,ANANDRATHI,UTIAMC,PRUDENT,JSWHL,PILANIINVS,KICL,BFINVEST,NSIL,SUMMITSEC,CREST"
Jindal Poly Investment and Finance Company Ltd,JPOLYINVST,Asset Management,918.3221174,873.6,3.106953065,"BAJAJHLDNG,HDFCAMC,NAM-INDIA,TATAINVEST,ABSLAMC,ANANDRATHI,UTIAMC,PRUDENT,JSWHL,PILANIINVS,KICL,BFINVEST,NSIL,SUMMITSEC,CREST,JPOLYINVST"
Dhunseri Investments Ltd,DHUNINV,Asset Management,915.1559319,1500.95,18.73400065,"BAJAJHLDNG,HDFCAMC,NAM-INDIA,TATAINVEST,ABSLAMC,ANANDRATHI,UTIAMC,PRUDENT,JSWHL,PILANIINVS,KICL,BFINVEST,NSIL,SUMMITSEC,CREST,JPOLYINVST,DHUNINV"
Shriram Asset Management Co Ltd,SRAMSET,Asset Management,825.0095375,633.8,-120.263781,"BAJAJHLDNG,HDFCAMC,NAM-INDIA,TATAINVEST,ABSLAMC,ANANDRATHI,UTIAMC,PRUDENT,JSWHL,PILANIINVS,KICL,BFINVEST,NSIL,SUMMITSEC,CREST,JPOLYINVST,DHUNINV,SRAMSET"
STEL Holdings Ltd,STEL,Asset Management,803.4560567,435.35,60.54680156,"BAJAJHLDNG,HDFCAMC,NAM-INDIA,TATAINVEST,ABSLAMC,ANANDRATHI,UTIAMC,PRUDENT,JSWHL,PILANIINVS,KICL,BFINVEST,NSIL,SUMMITSEC,CREST,JPOLYINVST,DHUNINV,SRAMSET,STEL"
Consolidated Finvest & Holdings Ltd,CONSOFINVT,Asset Management,687.2262148,212.59,14.7917825,"BAJAJHLDNG,HDFCAMC,NAM-INDIA,TATAINVEST,ABSLAMC,ANANDRATHI,UTIAMC,PRUDENT,JSWHL,PILANIINVS,KICL,BFINVEST,NSIL,SUMMITSEC,CREST,JPOLYINVST,DHUNINV,SRAMSET,STEL,CONSOFINVT"
Nahar Capital and Financial Services Ltd,NAHARCAP,Asset Management,547.0135451,326.65,46.47523747,"BAJAJHLDNG,HDFCAMC,NAM-INDIA,TATAINVEST,ABSLAMC,ANANDRATHI,UTIAMC,PRUDENT,JSWHL,PILANIINVS,KICL,BFINVEST,NSIL,SUMMITSEC,CREST,JPOLYINVST,DHUNINV,SRAMSET,STEL,CONSOFINVT,NAHARCAP"
IL & FS Investment Managers Ltd,IVC,Asset Management,455.9755385,14.52,45.05687139,"BAJAJHLDNG,HDFCAMC,NAM-INDIA,TATAINVEST,ABSLAMC,ANANDRATHI,UTIAMC,PRUDENT,JSWHL,PILANIINVS,KICL,BFINVEST,NSIL,SUMMITSEC,CREST,JPOLYINVST,DHUNINV,SRAMSET,STEL,CONSOFINVT,NAHARCAP,IVC"
